"TIME","cuadrada","triangular","RV1(3)","wtf?","wtf?"
0.1020903207,-10.3999,4.29414,-2.16847e-009,0.0524736,0.0524736
0.1020931532,-10.3783,4.31875,-8.33795e-010,0.042293,0.042293
0.1020933891,-10.3745,4.32079,-7.14431e-010,0.0414452,0.0414452
0.1020938608,-10.3668,4.32489,-4.65624e-010,0.0397427,0.0397427
0.1020939788,-10.3636,4.32592,-4.00294e-010,0.039317,0.039317
0.1020942146,-10.3573,4.32796,-2.65547e-010,0.0384658,0.0384658
0.1020945429,-10.3418,4.33082,-6.06857e-011,0.0372811,0.0372811
0.1020945967,-10.3369,4.33128,-2.51823e-011,0.0370869,0.0370869
0.1020947044,-10.3271,4.33222,4.66233e-011,0.0366983,0.0366983
0.1020948127,-10.3084,4.33326,1.19108e-010,0.0363074,0.0363074
0.1020949065,-10.2716,4.33417,1.70139e-010,0.0359687,0.0359687
0.1020950014,-10.1796,4.33554,1.83604e-010,0.0356262,0.0356262
0.1020951107,-9.96745,4.33712,1.78389e-010,0.035232,0.035232
0.1020952477,-9.38457,4.34015,1.64472e-010,0.0347382,0.0347382
0.1020953862,-8.21133,4.34419,1.45628e-010,0.0342398,0.0342398
0.1020954721,-7.23715,4.3467,1.41464e-010,0.0339257,0.0339257
0.1020955901,-5.7785,4.34819,1.41733e-010,0.0334943,0.0334943
0.1020957185,-4.14705,4.34851,1.41755e-010,0.033025,0.033025
0.1020958475,-2.49708,4.34883,1.41777e-010,0.0325568,0.0325568
0.1020960196,-0.294699,4.34926,1.41773e-010,0.0319326,0.0319326
0.1020962616,2.80546,4.34915,1.41767e-010,0.0310544,0.0310544
0.1020967457,9.00715,4.34701,1.41755e-010,0.0292979,0.0292979
0.1020969405,10.3955,4.3412,2.0581e-009,0.0285847,0.0285847
0.10209716,10.4262,4.33303,6.6576e-009,0.0277879,0.0277879
0.1020972317,10.4305,4.33325,8.04942e-009,0.0275392,0.0275392
0.1020972999,10.4345,4.33345,9.3175e-009,0.0272942,0.0272942
0.102097344,10.4372,4.33307,1.01092e-008,0.0271355,0.0271355
0.1020974124,10.4396,4.33248,1.12908e-008,0.0268867,0.0268867
0.1020974864,10.4423,4.33185,1.25125e-008,0.0266171,0.0266171
0.1020975786,10.4456,4.33105,1.3955e-008,0.0262841,0.0262841
0.1020976769,10.4479,4.33021,1.53976e-008,0.0259296,0.0259296
0.1020978591,10.452,4.32864,1.78415e-008,0.0252719,0.0252719
0.1020981947,10.4563,4.32576,2.16578e-008,0.0240608,0.0240608
0.1020985446,10.4607,4.32275,2.48414e-008,0.0228001,0.0228001
0.1020992443,10.4652,4.31664,2.94395e-008,0.0202787,0.0202787
0.1021006437,10.4696,4.30443,3.44335e-008,0.0152489,0.0152489
0.102102387,10.4703,4.28922,3.6712e-008,0.00900438,0.00900438
0.1021047322,10.4713,4.26876,3.73121e-008,0.00064013,0.00064013
0.1021077438,10.4713,4.24248,3.71399e-008,-0.0100393,-0.0100393
0.1021123575,10.4712,4.20223,3.6876e-008,-0.0262659,-0.0262659
0.102120495,10.4712,4.13123,3.67676e-008,-0.0544902,-0.0544902
0.1021367698,10.4711,3.98922,3.67747e-008,-0.109427,-0.109427
0.1021693196,10.4708,3.70522,3.67891e-008,-0.213266,-0.213266
0.1022344191,10.4708,3.1372,3.67892e-008,-0.396912,-0.396912
0.102364618,10.4708,2.00118,3.67893e-008,-0.668901,-0.668901
0.102625016,10.4708,-0.270875,3.67895e-008,-0.838186,-0.838186
0.1026901154,10.4708,-0.838888,3.67895e-008,-0.787575,-0.787575
0.1028203144,10.4708,-1.97491,3.67896e-008,-0.613758,-0.613758
0.1029197385,10.4708,-2.84242,3.67897e-008,-0.406519,-0.406519
0.1029445945,10.4708,-3.0593,3.67897e-008,-0.342312,-0.342312
0.1029943065,10.4676,-3.49264,3.25237e-008,-0.203532,-0.203532
0.1030520874,10.4491,-3.99631,1.58216e-008,-0.0219194,-0.0219194
0.103059261,10.4442,-4.05884,1.31618e-008,0.00233907,0.00233907
0.1030736082,10.4303,-4.1835,7.72728e-009,0.0517086,0.0517086
0.103077195,10.4247,-4.21466,6.31801e-009,0.0642817,0.0642817
0.1030843686,10.4078,-4.27699,3.39448e-009,0.0896403,0.0896403
0.103086162,10.4007,-4.29257,2.62262e-009,0.0960374,0.0960374
0.1030897488,10.3678,-4.32365,8.71868e-010,0.108897,0.108897
0.1030899329,10.3637,-4.32525,7.73479e-010,0.109557,0.109557
0.1030903011,10.3522,-4.32844,5.64544e-010,0.110877,0.110877
0.1030903931,10.348,-4.32923,5.08612e-010,0.111207,0.111207
0.1030905772,10.3351,-4.33083,3.92373e-010,0.111867,0.111867
0.1030906232,10.3319,-4.33123,3.62103e-010,0.112032,0.112032
0.1030907152,10.3204,-4.33202,3.01564e-010,0.112362,0.112362
0.1030908152,10.2976,-4.33304,2.3831e-010,0.112721,0.112721
0.1030909052,10.2483,-4.33396,2.01444e-010,0.113043,0.113043
0.1030910102,10.1144,-4.3356,1.98899e-010,0.11342,0.11342
0.1030911209,9.83611,-4.33733,2.07789e-010,0.113817,0.113817
0.1030912528,9.14318,-4.34103,2.32401e-010,0.114292,0.114292
0.1030913902,7.84296,-4.3449,2.90058e-010,0.114787,0.114787
0.103091483,6.7441,-4.34684,3.51834e-010,0.115121,0.115121
0.1030915934,5.35316,-4.3475,4.30639e-010,0.11552,0.11552
0.1030917345,3.54101,-4.34835,5.33592e-010,0.116031,0.116031
0.103091884,1.60759,-4.34858,6.43259e-010,0.116572,0.116572
0.1030920656,-0.749172,-4.34885,7.76886e-010,0.117229,0.117229
0.1030924226,-5.41016,-4.3482,1.04097e-009,0.118521,0.118521
0.1030926988,-9.03905,-4.34657,1.24652e-009,0.11952,0.11952
0.1030927778,-10.0797,-4.34611,1.30542e-009,0.119806,0.119806
0.1030927883,-10.2175,-4.34604,1.31118e-009,0.119848,0.119848
0.1030928094,-10.3453,-4.34385,1.03471e-009,0.119933,0.119933
0.1030928322,-10.3722,-4.34086,5.23698e-010,0.120025,0.120025
0.1030928533,-10.3844,-4.33808,3.07656e-011,0.12011,0.12011
0.1030928755,-10.393,-4.3364,-4.87357e-010,0.120184,0.120184
0.1030929018,-10.3997,-4.33568,-1.09793e-009,0.120272,0.120272
0.1030929275,-10.4062,-4.33499,-1.68682e-009,0.120357,0.120357
0.1030929537,-10.4104,-4.33495,-2.2764e-009,0.120444,0.120444
0.1030929809,-10.4148,-4.3349,-2.88235e-009,0.120534,0.120534
0.1030930155,-10.4188,-4.33484,-3.63744e-009,0.120659,0.120659
0.1030930491,-10.4226,-4.33479,-4.3573e-009,0.12078,0.12078
0.1030930981,-10.4264,-4.33436,-5.3784e-009,0.120957,0.120957
0.1030931735,-10.4322,-4.3337,-6.89017e-009,0.121229,0.121229
0.1030932688,-10.4368,-4.33287,-8.69782e-009,0.121572,0.121572
0.1030933632,-10.4413,-4.33204,-1.03816e-008,0.121913,0.121913
0.1030935476,-10.4473,-4.33043,-1.33885e-008,0.122578,0.122578
0.1030939129,-10.4551,-4.32724,-1.83953e-008,0.123889,0.123889
0.1030942537,-10.4595,-4.32426,-2.21052e-008,0.125113,0.125113
0.1030949353,-10.4649,-4.3183,-2.75015e-008,0.127561,0.127561
0.1030962986,-10.4702,-4.30638,-3.34447e-008,0.132434,0.132434
0.1030979036,-10.471,-4.29236,-3.61198e-008,0.138172,0.138172
0.1031001218,-10.4721,-4.27297,-3.69744e-008,0.146057,0.146057
0.1031028549,-10.472,-4.24912,-3.6856e-008,0.155721,0.155721
0.1031070557,-10.472,-4.21246,-3.65639e-008,0.170464,0.170464
0.1031139897,-10.4719,-4.15196,-3.64211e-008,0.194505,0.194505
0.1031278576,-10.4718,-4.03095,-3.6417e-008,0.241488,0.241488
0.1031555934,-10.4716,-3.78893,-3.64369e-008,0.331072,0.331072
0.1032110651,-10.4715,-3.30489,-3.6441e-008,0.492769,0.492769
0.1033220084,-10.4714,-2.33682,-3.64493e-008,0.746798,0.746798
0.1035438952,-10.4712,-0.400671,-3.64659e-008,0.981448,0.981448
0.1039327777,-10.4709,2.99254,-3.6495e-008,0.536269,0.536269
0.1039585548,-10.4708,3.21746,-3.63267e-008,0.465966,0.465966
0.1040101089,-10.4636,3.6671,-2.74653e-008,0.314238,0.314238
0.1040609033,-10.4398,4.10928,-1.06759e-008,0.147919,0.147919
0.1040677249,-10.4326,4.16866,-8.02583e-009,0.12414,0.12414
0.104081368,-10.4033,4.28702,-2.49853e-009,0.075814,0.075814
0.1040830646,-10.3945,4.30174,-1.75623e-009,0.0697202,0.0697202
0.1040834887,-10.3923,4.30542,-1.56727e-009,0.0681968,0.0681968
0.104084337,-10.3858,4.31278,-1.17774e-009,0.0651408,0.0651408
0.1040856387,-10.3687,4.32407,-5.16749e-010,0.0604515,0.0604515
0.1040858217,-10.3647,4.32566,-4.15849e-010,0.0597921,0.0597921
0.1040861877,-10.3525,4.32884,-2.02998e-010,0.0584699,0.0584699
0.1040862792,-10.3495,4.32963,-1.46392e-010,0.0581394,0.0581394
0.1040864622,-10.3374,4.33122,-2.9086e-011,0.0574783,0.0574783
0.104086508,-10.3344,4.33162,1.41748e-012,0.057313,0.057313
0.1040865995,-10.324,4.33241,6.26476e-011,0.0569824,0.0569824
0.104086711,-10.3011,4.33352,1.35946e-010,0.0565797,0.0565797
0.1040868027,-10.2544,4.33444,1.7769e-010,0.0562484,0.0562484
0.1040869051,-10.1303,4.33602,1.82658e-010,0.0558783,0.0558783
0.1040870157,-9.86668,4.33772,1.75818e-010,0.055479,0.055479
0.1040871478,-9.20432,4.34092,1.60691e-010,0.0550027,0.0550027
0.1040872855,-7.93282,4.34522,1.43252e-010,0.0545063,0.0545063
0.1040873744,-6.89314,4.34719,1.41667e-010,0.0541813,0.0541813
0.1040874855,-5.50498,4.34791,1.40792e-010,0.0537747,0.0537747
0.1040876217,-3.7719,4.34879,1.4175e-010,0.0532767,0.0532767
0.1040877644,-1.94625,4.34901,1.41735e-010,0.0527585,0.0527585
0.1040879403,0.305646,4.34929,1.418e-010,0.05212,0.05212
0.1040882531,4.3129,4.34886,1.41756e-010,0.0509844,0.0509844
0.1040886811,9.7966,4.34655,1.41739e-010,0.0494304,0.0494304
0.1040887317,10.3363,4.34497,3.43109e-010,0.0492416,0.0492416
0.1040887723,10.38,4.33982,1.22997e-009,0.0490743,0.0490743
0.1040888048,10.3932,4.33712,1.96637e-009,0.0489587,0.0489587
0.1040888297,10.3993,4.33637,2.52473e-009,0.0488704,0.0488704
0.1040888588,10.4064,4.33548,3.17008e-009,0.0487743,0.0487743
0.1040888933,10.4116,4.33538,3.92421e-009,0.0486601,0.0486601
0.1040889232,10.4161,4.3353,4.56311e-009,0.0485549,0.0485549
0.1040889618,10.4202,4.33519,5.37197e-009,0.0484188,0.0484188
0.1040889968,10.4238,4.33509,6.09083e-009,0.0482907,0.0482907
0.1040890505,10.4276,4.33462,7.16066e-009,0.0480946,0.0480946
0.1040891372,10.4336,4.33387,8.81249e-009,0.0477779,0.0477779
0.1040892246,10.4374,4.3331,1.03877e-008,0.0474623,0.0474623
0.104089337,10.4423,4.33212,1.22856e-008,0.0470564,0.0470564
0.1040895394,10.4482,4.33035,1.53741e-008,0.0463256,0.0463256
0.1040898391,10.4542,4.32773,1.92678e-008,0.0452433,0.0452433
0.1040902816,10.4597,4.32387,2.3807e-008,0.0436453,0.0436453
0.1040911667,10.466,4.31613,2.98784e-008,0.0404552,0.0404552
0.1040927574,10.4707,4.30223,3.51825e-008,0.0347368,0.0347368
0.1040944256,10.4707,4.28765,3.695e-008,0.0287603,0.0287603
0.1040968945,10.4707,4.26608,3.73509e-008,0.0199547,0.0199547
0.1040998348,10.4707,4.24042,3.71114e-008,0.00952828,0.00952828
0.1041048512,10.4707,4.19665,3.68434e-008,-0.00810809,-0.00810809
0.1041135995,10.4707,4.12032,3.67617e-008,-0.0384059,-0.0384059
0.1041310961,10.4707,3.96766,3.6778e-008,-0.0972544,-0.0972544
0.1041647195,10.4707,3.67428,3.67898e-008,-0.20382,-0.20382
0.1042319664,10.4707,3.08753,3.67898e-008,-0.391317,-0.391317
0.1043664603,10.4707,1.91403,3.67897e-008,-0.664686,-0.664686
0.1046354479,10.4708,-0.432972,3.67897e-008,-0.812103,-0.812103
0.1047026949,10.4708,-1.01972,3.67897e-008,-0.749942,-0.749942
0.1048371887,10.4708,-2.19322,3.67897e-008,-0.548335,-0.548335
0.1048708122,10.4708,-2.4866,3.67897e-008,-0.477073,-0.477073
0.1049380591,10.4708,-3.07329,3.67897e-008,-0.315472,-0.315472
0.1049889215,10.4672,-3.51703,3.19184e-008,-0.173881,-0.173881
0.1050427908,10.4497,-3.98615,1.62227e-008,-0.00477558,-0.00477558
0.1050496534,10.4452,-4.04591,1.36963e-008,0.0183475,0.0183475
0.1050633787,10.4328,-4.16544,8.53413e-009,0.0653742,0.0653742
0.10506681,10.4281,-4.19532,7.20004e-009,0.0773421,0.0773421
0.1050736726,10.4152,-4.25486,4.45738e-009,0.101472,0.101472
0.1050753882,10.4106,-4.26974,3.74776e-009,0.107558,0.107558
0.1050788195,10.3967,-4.29951,2.27098e-009,0.119787,0.119787
0.1050796774,10.3913,-4.30695,1.88036e-009,0.122845,0.122845
0.105081393,10.3725,-4.32183,1.03607e-009,0.129,0.129
0.1050815401,10.3709,-4.32311,9.59118e-010,0.129527,0.129527
0.1050818341,10.3649,-4.32566,8.00677e-010,0.130582,0.130582
0.1050822947,10.3495,-4.32966,5.2822e-010,0.132235,0.132235
0.1050823619,10.3453,-4.33024,4.8576e-010,0.132476,0.132476
0.1050824965,10.3369,-4.33141,3.98835e-010,0.132959,0.132959
0.1050826356,10.3212,-4.33261,3.04913e-010,0.133458,0.133458
0.1050827476,10.2938,-4.33379,2.32355e-010,0.13386,0.13386
0.1050828434,10.231,-4.33479,1.98744e-010,0.134203,0.134203
0.1050829665,10.0334,-4.33689,2.01453e-010,0.134645,0.134645
0.1050830789,9.6653,-4.3388,2.1357e-010,0.135048,0.135048
0.1050832378,8.52169,-4.34338,2.57862e-010,0.135623,0.135623
0.1050833402,7.41138,-4.34634,3.13909e-010,0.135993,0.135993
0.1050834673,5.85384,-4.34816,4.02515e-010,0.136452,0.136452
0.1050835925,4.25564,-4.3485,4.93074e-010,0.136904,0.136904
0.1050837244,2.55394,-4.34886,5.89669e-010,0.137381,0.137381
0.1050838989,0.293631,-4.34934,7.17835e-010,0.138011,0.138011
0.1050841261,-2.66447,-4.34928,8.85482e-010,0.138833,0.138833
0.1050845806,-8.62012,-4.34746,1.22288e-009,0.140475,0.140475
0.1050847863,-10.3908,-4.34239,-2.97908e-010,0.141222,0.141222
0.1050850218,-10.427,-4.33276,-5.39056e-009,0.142077,0.142077
0.1050850944,-10.4313,-4.33311,-6.84173e-009,0.142332,0.142332
0.1050851637,-10.4354,-4.33345,-8.16811e-009,0.142576,0.142576
0.1050852048,-10.4379,-4.3331,-8.92723e-009,0.14272,0.14272
0.1050852727,-10.4404,-4.33252,-1.01373e-008,0.142965,0.142965
0.1050853397,-10.4428,-4.33195,-1.12801e-008,0.143205,0.143205
0.1050854222,-10.4458,-4.33124,-1.26213e-008,0.143502,0.143502
0.1050855139,-10.4481,-4.33045,-1.40276e-008,0.143832,0.143832
0.1050856674,-10.4518,-4.32914,-1.62026e-008,0.144384,0.144384
0.1050859745,-10.4561,-4.32651,-1.99587e-008,0.145488,0.145488
0.1050862568,-10.4601,-4.32409,-2.28057e-008,0.146504,0.146504
0.1050868214,-10.4644,-4.31917,-2.71694e-008,0.148526,0.148526
0.1050879506,-10.4691,-4.30931,-3.24536e-008,0.152572,0.152572
0.105089682,-10.4717,-4.2942,-3.58957e-008,0.158739,0.158739
0.105091714,-10.4717,-4.27647,-3.69026e-008,0.165976,0.165976
0.1050945562,-10.4717,-4.25167,-3.68847e-008,0.176027,0.176027
0.105098358,-10.4717,-4.2185,-3.66043e-008,0.189376,0.189376
0.1051050611,-10.4717,-4.16001,-3.64294e-008,0.212643,0.212643
0.1051184673,-10.4717,-4.04303,-3.64136e-008,0.258152,0.258152
0.1051452797,-10.4716,-3.80907,-3.64355e-008,0.345071,0.345071
0.1051968934,-10.4716,-3.35869,-3.64403e-008,0.497065,0.497065
0.1053001209,-10.4715,-2.45794,-3.64499e-008,0.740949,0.740949
0.1055065759,-10.4713,-0.656488,-3.64648e-008,0.991575,0.991575
0.1059194859,-10.471,2.94641,-3.64946e-008,0.569764,0.569764
0.1059465838,-10.4709,3.18286,-3.64633e-008,0.496557,0.496557
0.1060007796,-10.4639,3.65555,-2.78059e-008,0.337849,0.337849
0.1060630247,-10.4281,4.19676,-6.80616e-009,0.131966,0.131966
0.1060706834,-10.4127,4.26335,-3.66263e-009,0.104678,0.104678
0.106072598,-10.4067,4.28,-2.85949e-009,0.0978313,0.0978313
0.1060764273,-10.385,4.3133,-1.13677e-009,0.0840719,0.0840719
0.1060768356,-10.3809,4.31685,-9.39455e-010,0.0826048,0.0826048
0.1060776523,-10.3679,4.32395,-5.20391e-010,0.0796552,0.0796552
0.1060778218,-10.3652,4.32542,-4.27441e-010,0.079043,0.079043
0.1060781608,-10.3547,4.32837,-2.32658e-010,0.0778185,0.0778185
0.1060782455,-10.352,4.32911,-1.81237e-010,0.0775124,0.0775124
0.1060784151,-10.3427,4.33058,-7.51914e-011,0.0769001,0.0769001
0.1060784574,-10.3404,4.33095,-4.77105e-011,0.0767471,0.0767471
0.1060785422,-10.3335,4.33175,7.92435e-012,0.0764409,0.0764409
0.1060787117,-10.307,4.33334,1.23015e-010,0.0758287,0.0758287
0.1060788146,-10.2596,4.33431,1.75941e-010,0.0754569,0.0754569
0.1060789185,-10.1371,4.33591,1.82831e-010,0.0750817,0.0750817
0.1060790346,-9.85855,4.33771,1.75613e-010,0.0746622,0.0746622
0.1060791775,-9.09417,4.34169,1.58406e-010,0.0741467,0.0741467
0.1060793153,-7.7675,4.34554,1.4235e-010,0.0736496,0.0736496
0.1060794127,-6.61185,4.34743,1.41619e-010,0.0732934,0.0732934
0.1060795246,-5.20663,4.34802,1.41443e-010,0.0728839,0.0728839
0.1060796773,-3.26191,4.34882,1.41765e-010,0.0723256,0.0723256
0.1060798317,-1.28767,4.34899,1.4177e-010,0.0717649,0.0717649
0.1060800253,1.19151,4.34921,1.41776e-010,0.0710616,0.0710616
0.1060804125,6.15229,4.34824,1.41789e-010,0.0696551,0.0696551
0.1060806546,9.25427,4.3468,1.41732e-010,0.0687755,0.0687755
0.1060807979,10.384,4.34197,1.39855e-009,0.0682497,0.0682497
0.1060809669,10.4189,4.33372,5.06106e-009,0.0676293,0.0676293
0.1060810254,10.424,4.33386,6.25919e-009,0.067427,0.067427
0.1060810808,10.4288,4.33398,7.35631e-009,0.0672353,0.0672353
0.1060811151,10.4308,4.33406,8.01666e-009,0.0671103,0.0671103
0.1060811617,10.4335,4.33366,8.89139e-009,0.0669403,0.0669403
0.1060812131,10.4364,4.33321,9.82392e-009,0.0667532,0.0667532
0.1060812833,10.4392,4.3326,1.10502e-008,0.0664973,0.0664973
0.1060813682,10.4426,4.33186,1.24607e-008,0.0661905,0.0661905
0.1060814639,10.4452,4.33102,1.39587e-008,0.0658447,0.0658447
0.1060816554,10.4503,4.32935,1.66897e-008,0.0651532,0.0651532
0.1060819232,10.4541,4.32702,1.99851e-008,0.0641857,0.0641857
