"FREQ","cuadrada"
14600,0.349704
14700,0.104071
14800,0.0654769
14900,0.0505918
15000,0.0442566
15100,0.0430915
15200,0.0458896
15300,0.0554197
15400,0.0828251
15500,0.205308
15600,0.347361
15700,0.095738
15800,0.0595152
15900,0.0456416
16000,0.0397174
16100,0.0385035
16200,0.0407537
16300,0.0488433
16400,0.0720101
16500,0.170971
16600,0.344208
16700,0.0869218
16800,0.0534127
16900,0.0406525
17000,0.0351824
17100,0.033959
17200,0.0357212
17300,0.0424912
17400,0.061817
17500,0.141022
17600,0.339999
17700,0.0775761
17800,0.0471
17900,0.0355568
18000,0.0305992
18100,0.0294091
18200,0.0307427
18300,0.036339
18400,0.0521777
18500,0.114734
18600,0.334904
18700,0.0677518
18800,0.0406674
18900,0.0304368
19000,0.0260545
19100,0.0249181
19200,0.025931
19300,0.0304604
19400,0.043151
19500,0.0925331
19600,0.328932
19700,0.0578563
19800,0.0342122
19900,0.0253942
20000,0.0216334
20100,0.0205696
20200,0.0213476
20300,0.02502
20400,0.0348073
20500,0.0732398
20600,0.322031
20700,0.0479648
20800,0.0278213
20900,0.0205736
21000,0.0174688
21100,0.0165694
21200,0.0172612
21300,0.020135
21400,0.0273899
21500,0.0574315
21600,0.314443
21700,0.0386967
21800,0.0217506
21900,0.0162123
22000,0.0139031
22100,0.0131595
22200,0.0137409
22300,0.0158691
22400,0.0209453
22500,0.0435674
22600,0.305921
22700,0.0305051
22800,0.0164919
22900,0.0125479
23000,0.0108812
23100,0.0102499
23200,0.0107031
23300,0.0121972
23400,0.0156349
23500,0.0320132
23600,0.296909
23700,0.0231404
23800,0.011952
23900,0.00933256
24000,0.00810542
24100,0.00758277
24200,0.00786445
24300,0.00881984
24400,0.0108056
24500,0.0216447
24600,0.286995
24700,0.016735
24800,0.00823987
24900,0.00665304
25000,0.00580854
25100,0.00534857
25200,0.00554859
25300,0.00601915
25400,0.00688347
25500,0.0132145
25600,0.276783
25700,0.012873
25800,0.00679978
25900,0.00616597
26000,0.0057935
26100,0.00576969
26200,0.00643357
26300,0.00757341
26400,0.00976149
26500,0.0196552
26600,0.265734
26700,0.0242904
26800,0.0122916
26900,0.0100073
27000,0.00895542
27100,0.00866521
27200,0.00939116
27300,0.0109056
27400,0.0142274
27500,0.0272217
27600,0.254569
27700,0.0354477
27800,0.017178
27900,0.0133061
28000,0.011579
28100,0.0110384
28200,0.0117485
28300,0.0135519
28400,0.0177278
28500,0.0330848
28600,0.242663
28700,0.0470149
28800,0.0221763
28900,0.0166579
29000,0.0142639
29100,0.0134357
29200,0.0141401
29300,0.0161558
29400,0.0210643
29500,0.0382155
29600,0.23081
29700,0.0580849
29800,0.0264262
29900,0.0193402
30000,0.0162998
30100,0.0152178
30200,0.0158568
30300,0.0180122
30400,0.0233969
30500,0.0417446
30600,0.218352
30700,0.0693838
30800,0.0307257
30900,0.0220915
31000,0.0184225
31100,0.0170542
31200,0.0176413
31300,0.0198821
31400,0.0256268
31500,0.0446947
31600,0.206106
31700,0.0799805
31800,0.0341489
31900,0.0240954
32000,0.0198401
32100,0.0182294
32200,0.0187112
32300,0.0209875
32400,0.0269216
32500,0.0462342
32600,0.19344
32700,0.0906631
32800,0.0375241
