"FREQ","seno"
1520,0.000275208
1530,0.00026497
1540,0.000294469
1550,0.000277251
1560,0.000281246
1570,0.000269571
1580,0.000263909
1590,0.000290511
1600,0.000265869
1610,0.000252285
1620,0.000249142
1630,0.000244333
1640,0.000269443
1650,0.000301682
1660,0.000324581
1670,0.000294586
1680,0.000257362
1690,0.000268347
1700,0.000339022
1710,0.000403639
1720,0.000344662
1730,0.000440032
1740,0.00119503
1750,0.0176018
1760,0.0506941
1770,0.0351188
1780,0.00287787
1790,0.000621984
1800,0.000319405
1810,0.000323737
1820,0.000342001
1830,0.000239475
1840,0.000243044
1850,0.000255388
1860,0.000271157
1870,0.000266143
1880,0.000332393
1890,0.000313987
1900,0.000299413
1910,0.000342789
1920,0.000304589
1930,0.000276087
1940,0.000290128
1950,0.00031666
1960,0.000342911
1970,0.000285795
1980,0.000266987
1990,0.000253009
2000,0.000271851
2010,0.000258361
2020,0.000284041
2030,0.000295827
2040,0.000281448
2050,0.000274542
2060,0.000293963
2070,0.000294369
2080,0.000277545
2090,0.000269426
2100,0.000288079
2110,0.000280524
2120,0.000296579
2130,0.000275027
2140,0.00025264
2150,0.000290067
2160,0.000276328
2170,0.00028466
2180,0.000243318
2190,0.000231099
2200,0.000303899
2210,0.000352712
2220,0.000355153
2230,0.00036228
2240,0.00102847
2250,0.00581919
2260,0.0360051
2270,0.040044
2280,0.00961474
2290,0.00115364
2300,0.000457353
2310,0.000258279
2320,0.000281545
2330,0.000281806
2340,0.000224894
2350,0.000250963
2360,0.000240596
2370,0.00019693
2380,0.000245795
2390,0.000235355
2400,0.000254739
2410,0.000257291
2420,0.000221147
2430,0.000204191
2440,0.000271588
2450,0.00026094
2460,0.00024469
2470,0.000242867
2480,0.000265488
2490,0.000301064
2500,0.000236509
2510,0.000185238
2520,0.0002249
2530,0.000201231
2540,0.000227467
2550,0.000289062
2560,0.00023875
2570,0.000198058
2580,0.000193057
2590,0.00021381
2600,0.000196256
2610,0.000241745
2620,0.000196592
2630,0.000194025
2640,0.000209702
2650,0.000254774
2660,0.000225447
2670,0.000229926
2680,0.000255469
2690,0.000214295
2700,0.000225417
2710,0.000255617
2720,0.000248458
2730,0.000284351
2740,0.000268199
2750,0.000433043
2760,0.0139602
2770,0.0251592
2780,0.0113069
2790,0.00033503
2800,0.000276945
2810,0.000287957
2820,0.000292082
2830,0.000248587
2840,0.000221914
2850,0.000208226
2860,0.000209627
2870,0.000234026
2880,0.000205421
2890,0.000189113
2900,0.0002322
2910,0.000261761
2920,0.000257557
2930,0.000274685
2940,0.000261616
2950,0.000287297
2960,0.000243388
2970,0.000239592
2980,0.000225716
2990,0.00023278
3000,0.000279222
3010,0.000265741
3020,0.000250099
3030,0.000278177
3040,0.000246893
3050,0.000277873
3060,0.000235836
3070,0.000207682
3080,0.000187617
3090,0.000218281
3100,0.000232331
3110,0.000196701
3120,0.000217998
3130,0.000198661
3140,0.000222114
3150,0.000230557
3160,0.000260438
3170,0.000245424
3180,0.000239333
3190,0.000210823
3200,0.000226788
3210,0.000297493
3220,0.000281063
3230,0.000234291
3240,0.000240211
3250,0.000240176
3260,0.000927352
3270,0.00267189
3280,0.0019723
3290,0.000281231
3300,0.000269111
3310,0.000238543
3320,0.000249422
3330,0.000285204
3340,0.000213186
3350,0.000196649
3360,0.000226059
3370,0.000224366
3380,0.000236669
3390,0.000290126
3400,0.000276329
3410,0.000271908
3420,0.000311456
3430,0.000295119
3440,0.000234122
3450,0.000268016
3460,0.000260839
3470,0.000268288
3480,0.000226574
3490,0.000211253
3500,0.000220621
3510,0.000276602
3520,0.000274599
3530,0.00029551
3540,0.000277542
3550,0.000287142
3560,0.000295342
3570,0.000273279
3580,0.000265169
3590,0.000249832
3600,0.000260944
3610,0.000282172
3620,0.000269358
3630,0.000233915
3640,0.000213119
3650,0.000219329
3660,0.000266615
3670,0.000308929
3680,0.000294111
3690,0.000208406
3700,0.000259686
3710,0.00030877
3720,0.000368398
3730,0.000311535
3740,0.000288584
3750,0.000218239
3760,0.00112844
3770,0.00756483
3780,0.00899153
3790,0.00241614
3800,0.00032717
3810,0.000246723
3820,0.000216723
3830,0.00027343
3840,0.000241979
3850,0.000202201
3860,0.000215561
3870,0.000202947
3880,0.000225798
3890,0.000275358
3900,0.000255539
3910,0.000240827
3920,0.000282022
3930,0.000276389
3940,0.000219679
3950,0.000222233
3960,0.000251036
3970,0.000284066
3980,0.000237248
3990,0.000228847
4000,0.000257463
4010,0.000263414
4020,0.000211553
4030,0.000260553
4040,0.000278226
4050,0.000231075
4060,0.000264034
4070,0.00026992
4080,0.000256199
4090,0.000229991
4100,0.000185348
4110,0.000237549
4120,0.000271665
4130,0.000235753
4140,0.000223585
4150,0.000215317
4160,0.000226067
4170,0.000212167
4180,0.000250245
4190,0.000254912
4200,0.00021929
4210,0.000238218
4220,0.000293647
4230,0.000289005
4240,0.000260739
4250,0.000235624
4260,0.000231869
4270,0.00580762
4280,0.0113345
4290,0.00553381
4300,0.00025995
4310,0.000242975
4320,0.000239494
4330,0.000263091
4340,0.000253236
4350,0.000248602
4360,0.000210636
4370,0.000239588
4380,0.000203056
4390,0.000188006
4400,0.000216501
4410,0.000239069
4420,0.000247855
4430,0.000218159
4440,0.000196819
4450,0.000246048
4460,0.000285949
4470,0.000234722
4480,0.000221517
4490,0.000202635
4500,0.000255881
4510,0.000262637
4520,0.000224422
4530,0.000209293
4540,0.000237099
4550,0.000196355
4560,0.000238985
4570,0.000240766
4580,0.00020369
4590,0.000189558
4600,0.000207195
4610,0.000194516
4620,0.0002158
4630,0.000206743
4640,0.000180001
4650,0.000205305
4660,0.000237424
4670,0.000234035
4680,0.000208231
4690,0.000251206
4700,0.000204455
4710,0.000223493
4720,0.000263724
4730,0.000239129
4740,0.000270549
4750,0.00026837
4760,0.000269951
4770,0.00184662
4780,0.00627875
4790,0.00502309
4800,0.000662836
4810,0.000256678
4820,0.000259347
4830,0.00027268
4840,0.00028339
4850,0.000238226
4860,0.000193383
4870,0.000208298
4880,0.000220056
4890,0.000217364
4900,0.000205325
4910,0.00022633
4920,0.000251895
4930,0.000258088
4940,0.000279847
4950,0.000239026
4960,0.000267992
4970,0.000276895
4980,0.000244588
4990,0.000218158
5000,0.000191399
5010,0.000228377
5020,0.00025481
5030,0.000282576
5040,0.000301878
5050,0.000270835
5060,0.000293852
5070,0.000290278
5080,0.000223701
5090,0.000198268
5100,0.000208588
5110,0.000234987
5120,0.000212885
5130,0.00022708
5140,0.000232129
5150,0.000192312
5160,0.000205547
5170,0.000251514
5180,0.000249569
5190,0.000243924
5200,0.000189408
5210,0.00022754
5220,0.000285865
5230,0.000307551
5240,0.000264024
5250,0.000238743
5260,0.000214422
5270,0.000295188
5280,0.000582265
5290,0.000675046
5300,0.000311282
5310,0.000272705
5320,0.000251658
5330,0.000205992
5340,0.000238374
5350,0.000220919
5360,0.000183
5370,0.000207357
5380,0.000234372
5390,0.00023644
5400,0.000278068
5410,0.000258755
5420,0.000255903
5430,0.000274223
5440,0.000303551
5450,0.000225522
5460,0.000207235
5470,0.000225469
5480,0.000241015
5490,0.000239853
5500,0.000199304
5510,0.000205794
5520,0.00023504
5530,0.000238592
5540,0.000272446
5550,0.000307838
5560,0.000225531
5570,0.000271329
5580,0.00028059
5590,0.000272621
5600,0.00026297
5610,0.000217249
5620,0.000256857
5630,0.000267291
5640,0.000259677
5650,0.000217331
5660,0.000196909
5670,0.000218062
5680,0.000248292
5690,0.000263363
5700,0.000250553
5710,0.000237972
5720,0.000235907
5730,0.000311301
5740,0.000304658
5750,0.000265999
5760,0.000229468
5770,0.000222022
5780,0.000785231
5790,0.00154011
5800,0.000831639
5810,0.000242519
5820,0.000221874
5830,0.000212793
5840,0.000237252
5850,0.000233139
5860,0.000218873
5870,0.00021062
